iter	Passed	Remaining
322	2059	4316
323	2065	4308
324	2071	4301
325	2077	4294
326	2083	4287
327	2089	4280
328	2094	4271
329	2100	4264
330	2106	4257
331	2112	4249
332	2117	4241
333	2122	4232
334	2129	4226
335	2135	4219
336	2141	4212
337	2147	4205
338	2153	4199
339	2158	4190
340	2164	4183
341	2170	4175
342	2176	4168
343	2182	4161
344	2188	4154
345	2194	4147
346	2199	4139
347	2205	4132
348	2211	4125
349	2217	4118
350	2223	4111
351	2230	4106
352	2237	4100
353	2244	4095
354	2251	4090
355	2258	4085
356	2265	4080
357	2271	4074
358	2278	4068
359	2284	4061
360	2290	4054
361	2296	4047
362	2302	4040
363	2308	4033
364	2313	4025
365	2319	4018
366	2325	4011
367	2331	4003
368	2337	3997
369	2343	3990
370	2349	3983
371	2355	3976
372	2361	3969
373	2367	3962
374	2373	3956
375	2379	3949
376	2384	3941
377	2390	3934
378	2396	3926
379	2402	3919
380	2408	3913
381	2415	3907
382	2421	3900
383	2427	3893
384	2433	3886
385	2439	3880
386	2445	3873
387	2451	3866
388	2457	3859
389	2462	3851
390	2468	3845
391	2474	3837
392	2480	3830
393	2486	3825
394	2494	3819
395	2500	3813
396	2507	3808
397	2514	3802
398	2520	3795
399	2527	3790
400	2533	3784
401	2540	3779
402	2547	3773
403	2553	3766
404	2559	3759
405	2564	3752
406	2570	3745
407	2576	3738
408	2582	3731
409	2588	3724
410	2594	3717
411	2600	3711
412	2606	3704
413	2612	3697
414	2618	3691
415	2625	3685
416	2631	3678
417	2637	3672
418	2643	3665
419	2649	3659
420	2655	3652
421	2662	3646
422	2668	3640
423	2674	3633
424	2681	3627
425	2687	3620
426	2693	3614
427	2699	3608
428	2706	3601
429	2712	3595
430	2718	3588
431	2724	3581
432	2730	3575
433	2736	3568
434	2742	3562
435	2749	3556
436	2754	3549
437	2760	3542
438	2766	3535
439	2772	3528
440	2779	3522
441	2784	3515
442	2790	3508
443	2796	3502
444	2803	3495
445	2809	3489
446	2815	3483
447	2821	3476
448	2827	3470
449	2833	3463
450	2839	3456
451	2845	3450
452	2851	3443
453	2857	3436
454	2863	3430
455	2870	3424
456	2876	3418
457	2883	3412
458	2888	3404
459	2894	3398
460	2900	3391
461	2906	3384
462	2912	3378
463	2918	3371
464	2924	3364
465	2931	3358
466	2937	3352
467	2943	3346
468	2949	3339
469	2955	3332
470	2960	3325
471	2966	3318
472	2972	3311
473	2977	3304
474	2983	3297
475	2989	3291
476	2996	3285
477	3002	3279
478	3008	3272
479	3014	3265
480	3021	3259
481	3027	3253
482	3033	3247
483	3039	3240
484	3046	3234
485	3053	3229
486	3058	3222
487	3064	3215
488	3071	3209
489	3078	3203
490	3085	3198
491	3092	3192
492	3098	3186
493	3106	3181
494	3112	3175
495	3119	3169
496	3125	3163
497	3131	3156
498	3137	3149
499	3142	3142
500	3148	3135
501	3154	3129
502	3160	3123
503	3166	3116
504	3172	3109
505	3177	3102
506	3183	3095
507	3189	3089
508	3194	3081
509	3200	3075
510	3206	3068
511	3212	3061
512	3218	3055
513	3224	3048
514	3230	3042
515	3236	3036
516	3243	3030
517	3250	3024
518	3257	3018
519	3263	3012
520	3269	3006
521	3275	2999
522	3281	2992
523	3286	2985
524	3292	2978
525	3298	2972
526	3304	2966
527	3310	2959
528	3317	2953
529	3322	2946
530	3328	2939
531	3333	2932
532	3339	2925
533	3344	2918
534	3350	2912
535	3356	2905
536	3362	2898
537	3368	2892
538	3374	2886
539	3380	2879
540	3386	2872
541	3391	2865
542	3397	2858
543	3402	2852
544	3408	2846
545	3414	2839
546	3421	2833
547	3426	2826
548	3433	2820
549	3438	2813
550	3444	2807
551	3450	2800
552	3456	2794
553	3462	2787
554	3468	2781
555	3474	2774
556	3480	2768
557	3486	2762
558	3493	2755
559	3499	2749
560	3505	2742
561	3511	2736
562	3517	2730
563	3523	2724
564	3529	2717
565	3535	2711
566	3541	2704
567	3547	2698
568	3553	2691
569	3558	2684
570	3565	2678
571	3570	2671
572	3577	2665
573	3583	2659
574	3588	2652
575	3595	2646
576	3600	2639
577	3606	2633
578	3612	2626
579	3618	2620
580	3623	2613
581	3629	2607
582	3635	2600
583	3641	2594
584	3647	2587
585	3653	2580
586	3659	2574
587	3664	2567
588	3670	2561
589	3676	2554
590	3682	2548
591	3688	2542
592	3694	2535
593	3699	2528
594	3705	2522
595	3711	2515
596	3717	2509
597	3722	2502
598	3728	2495
599	3733	2488
600	3739	2482
601	3744	2475
602	3750	2469
603	3756	2462
604	3762	2456
605	3768	2449
606	3773	2443
607	3779	2436
608	3785	2430
609	3791	2424
610	3797	2417
611	3803	2411
612	3809	2405
613	3815	2398
614	3821	2392
615	3827	2386
616	3833	2379
617	3839	2373
618	3845	2366
619	3850	2360
620	3857	2354
621	3863	2347
622	3869	2341
623	3875	2335
624	3881	2328
625	3887	2322
626	3893	2316
627	3899	2309
628	3905	2303
629	3912	2297
630	3919	2291
631	3925	2285
632	3931	2279
633	3937	2272
634	3943	2266
635	3948	2260
636	3954	2253
637	3960	2247
638	3966	2240
639	3972	2234
640	3978	2228
641	3984	2221
642	3990	2215
643	3996	2209
644	4002	2202
645	4008	2196
646	4014	2190
647	4020	2183
648	4026	2177
649	4032	2171
650	4038	2165
651	4044	2158
652	4050	2152
653	4055	2145
654	4061	2139
655	4067	2133
656	4074	2126
657	4079	2120
658	4085	2114
659	4092	2108
660	4098	2102
661	4104	2095
662	4110	2089
663	4116	2082
664	4121	2076
665	4127	2070
666	4133	2063
667	4140	2057
668	4145	2051
669	4151	2044
670	4157	2038
671	4163	2032
672	4169	2025
673	4175	2019
674	4182	2013
675	4188	2007
676	4193	2000
677	4199	1994
678	4205	1988
679	4211	1981
680	4217	1975
681	4224	1969
682	4231	1963
683	4238	1957
684	4244	1951
685	4250	1945
686	4256	1939
687	4262	1933
688	4269	1926
689	4275	1920
690	4280	1914
691	4286	1907
692	4291	1901
693	4297	1895
694	4303	1888
695	4309	1882
696	4316	1876
697	4322	1870
698	4328	1863
699	4334	1857
700	4340	1851
701	4346	1845
702	4352	1838
703	4358	1832
704	4364	1826
705	4370	1820
706	4376	1813
707	4383	1807
708	4389	1801
709	4395	1795
710	4401	1789
711	4407	1782
712	4414	1776
713	4420	1770
714	4427	1764
715	4433	1758
716	4439	1752
717	4446	1746
718	4454	1740
719	4461	1734
720	4467	1728
721	4474	1722
722	4480	1716
723	4487	1710
724	4493	1704
725	4500	1698
726	4507	1692
727	4513	1686
728	4520	1680
729	4526	1674
730	4533	1668
731	4540	1662
732	4548	1656
733	4554	1650
734	4561	1644
735	4568	1638
736	4574	1632
737	4581	1626
738	4588	1620
739	4595	1614
740	4602	1608
741	4609	1602
742	4616	1596
743	4623	1590
744	4630	1584
745	4637	1578
746	4644	1573
747	4652	1567
748	4659	1561
749	4666	1555
750	4674	1549
751	4681	1544
752	4688	1538
753	4696	1532
754	4703	1526
755	4710	1520
756	4718	1514
757	4725	1508
758	4733	1503
759	4740	1497
760	4747	1491
761	4753	1484
762	4761	1478
763	4769	1473
764	4776	1467
765	4784	1461
766	4791	1455
767	4799	1449
768	4806	1443
769	4814	1438
770	4821	1432
771	4828	1426
772	4835	1420
773	4843	1414
774	4851	1408
775	4858	1402
776	4865	1396
777	4872	1390
778	4880	1384
779	4888	1378
780	4895	1372
781	4903	1366
782	4910	1360
783	4917	1354
784	4924	1348
785	4931	1342
786	4938	1336
787	4945	1330
788	4952	1324
789	4959	1318
790	4966	1312
791	4973	1306
792	4979	1299
793	4986	1293
794	4993	1287
795	5000	1281
796	5007	1275
797	5013	1269
798	5020	1263
799	5027	1256
800	5035	1250
801	5041	1244
802	5048	1238
803	5056	1232
804	5063	1226
805	5070	1220
806	5077	1214
807	5084	1208
808	5091	1202
809	5097	1195
810	5105	1189
811	5111	1183
812	5118	1177
813	5126	1171
814	5133	1165
815	5140	1159
816	5146	1152
817	5154	1146
818	5161	1140
819	5167	1134
820	5174	1128
821	5180	1121
822	5188	1115
823	5195	1109
824	5202	1103
825	5209	1097
826	5217	1091
827	5224	1085
828	5231	1079
829	5238	1072
830	5244	1066
831	5251	1060
832	5257	1054
833	5264	1047
834	5271	1041
835	5277	1035
836	5284	1029
837	5292	1023
838	5298	1016
839	5305	1010
840	5312	1004
841	5319	998
842	5326	991
843	5332	985
844	5339	979
845	5346	973
846	5353	967
847	5359	960
848	5367	954
849	5373	948
850	5380	942
851	5387	935
852	5394	929
853	5401	923
854	5408	917
855	5414	910
856	5421	904
857	5428	898
858	5435	892
859	5441	885
860	5447	879
861	5453	873
862	5460	866
863	5467	860
864	5473	854
865	5480	847
866	5486	841
867	5493	835
868	5499	829
869	5505	822
870	5512	816
871	5519	810
872	5526	803
873	5533	797
874	5540	791
875	5546	785
876	5553	778
877	5559	772
878	5566	766
879	5572	759
880	5579	753
881	5586	747
882	5593	741
883	5600	734
884	5607	728
885	5615	722
886	5622	716
887	5629	710
888	5636	703
889	5643	697
890	5650	691
891	5657	685
892	5665	678
893	5671	672
894	5679	666
895	5685	659
896	5692	653
897	5698	647
898	5705	641
899	5713	634
900	5719	628
901	5727	622
902	5734	616
903	5741	609
904	5749	603
905	5756	597
906	5763	590
907	5770	584
908	5777	578
909	5784	572
910	5791	565
911	5798	559
912	5805	553
913	5812	546
914	5818	540
915	5825	534
916	5831	527
917	5837	521
918	5844	515
919	5850	508
920	5856	502
921	5862	495
922	5869	489
923	5875	483
924	5881	476
925	5888	470
926	5895	464
927	5901	457
928	5908	451
929	5915	445
930	5921	438
931	5928	432
932	5935	426
933	5942	419
934	5949	413
935	5955	407
936	5961	400
937	5968	394
938	5975	388
939	5981	381
940	5988	375
941	5994	369
942	6000	362
943	6007	356
944	6013	350
945	6020	343
946	6026	337
947	6032	330
948	6038	324
949	6045	318
950	6051	311
951	6058	305
952	6064	299
953	6071	292
954	6077	286
955	6082	279
956	6089	273
957	6095	267
958	6101	260
959	6108	254
960	6114	248
961	6121	241
962	6127	235
963	6134	229
964	6140	222
965	6146	216
966	6152	209
967	6159	203
968	6165	197
969	6172	190
970	6178	184
971	6184	178
972	6191	171
973	6198	165
974	6205	159
975	6212	152
976	6219	146
977	6226	140
978	6232	133
979	6238	127
980	6245	120
981	6251	114
982	6258	108
983	6264	101
984	6270	95
985	6276	89
986	6283	82
987	6289	76
988	6295	70
989	6301	63
990	6308	57
991	6314	50
992	6321	44
993	6327	38
994	6334	31
995	6340	25
996	6347	19
997	6354	12
998	6360	6
999	6367	0
